IID	sex	PC1	PC2
HGDP00610	1	0.0280253076423443	1.43168951881555
HGDP00982	1	-1.16387919457715	3.17619209827493
HGDP00001	2	0.763274703437039	0.14745773857431
HGDP01247	2	-0.829658733507506	-0.397620652769166
HGDP00309	2	-0.983021100114437	-0.352155418951275
HGDP00786	1	2.38590445001495	0.453655836266455
HGDP00611	1	0.385811679161009	0.374928028455937
HGDP00003	2	-0.469956063666488	-0.152037376282358
HGDP00984	1	2.01283884161895	2.05694218392547
HGDP00787	2	1.45434939297945	0.269877935143667
HGDP01248	1	-0.276762128475043	-1.6400051310367
HGDP00311	2	-1.52536681992517	-1.38358402383936
HGDP00612	1	-0.66952726029171	-0.421944177492037
HGDP00005	1	-0.173379799800961	0.973457627858389
HGDP00985	1	-0.298839210825947	-1.56333424825607
HGDP00788	1	-0.872412361269459	-1.03614823778432
HGDP00313	1	2.75952289139271	0.391659927037654
HGDP01249	1	-0.66642433934396	-0.234914111721196
HGDP00613	1	-0.100325854229605	-0.939915756201599
HGDP00007	1	0.659901414252751	0.0870655188920164
HGDP00986	1	0.655930124362447	0.133242308462825
HGDP00790	2	0.302208617497355	0.857139536193699
HGDP00315	2	-0.340769526834037	-0.437267576963238
HGDP01250	2	0.658999797898378	0.111968812289482
HGDP00614	2	2.03375175806258	-0.53280229862381
HGDP00009	2	1.31601061947374	0.151974488236448
HGDP00987	2	0.344668559002598	0.80580498878675
HGDP00791	1	-0.0472802298061226	-0.417140954493951
HGDP00319	2	-0.264913508827516	0.268881638182434
HGDP01251	2	-0.397262349784505	-1.07593132798567
HGDP00615	1	-1.89490159372197	1.72287177540517
HGDP00011	2	-1.94085069390858	0.727137346676688
HGDP00991	1	1.55031468588178	-0.471105147875521
HGDP00794	1	1.3110110442676	-1.37310231222898
HGDP00323	2	0.32547968425777	-0.412383878370283
HGDP01253	1	-0.213146726927696	-1.34602316569785
HGDP00616	1	-0.817954269224968	0.416980431329832
HGDP00013	2	0.832446245192119	1.07288893054109
